Company,ISIN Code,Volume,Last Traded Price,Change (%),Sector,date
E.A.Portland Cement Ltd Ord 5.00,KE0000000190,0,7.8,0.0,CONSTRUCTION,2022-11-08
Crown Berger Ltd 0rd 5.00,KE0000000141,100,40.5,3.45,CONSTRUCTION,2022-11-08
Bamburi Cement Ltd Ord 5.00,KE0000000059,600,34.65,0.73,CONSTRUCTION,2022-11-08
Total Kenya Ltd Ord 5.00,KE0000000463,2400,24.45,-2.2,ENERGY,2022-11-08
Kenya Power Lighting Co Plc Ord 20.00,KE0000000349,637600,1.73,-1.14,ENERGY,2022-11-08
KenGen Ltd Ord. 2.50,KE0000000547,374400,3.29,0.0,ENERGY,2022-11-08
Umeme Ltd Ord 0.50,UG0000001145,10800,7.5,0.0,ENERGY,2022-11-08
Jubilee Holdings Ltd Ord 5.00,KE0000000273,1600,215.75,0.35,INSURANCE,2022-11-08
Kenya Re-Insurance Corporation Ltd Ord 2.50,KE0000000604,424800,1.85,-1.6,INSURANCE,2022-11-08
CIC Insurance Group Plc Ord 1.00,KE2000002317,85500,1.96,-1.51,INSURANCE,2022-11-08
Sanlam Insurance Holdings Ltd 0rd 5.00,KE0000000414,4800,9.48,1.5,INSURANCE,2022-11-08
Liberty Insurance,KE2000002168,6500,5.0,-3.85,INSURANCE,2022-11-08
British-American Investments Ord 0.10,KE2000002192,22200,5.8,0.69,INSURANCE,2022-11-08
Centum Investment Co Ltd Ord 0.50,KE0000000265,1185400,8.02,-8.24,INVESTMENT,2022-11-08
Kurwitu Ventures,KE4000001216,0,1500.0,0.0,INVESTMENT,2022-11-08
Trans-Century Ltd Ord 0.50,KE2000002184,10300,1.14,-4.2,INVESTMENT,2022-11-08
Olympia Capital Holdings ltd Ord 5.00,KE0000000166,700,2.7,9.76,INVESTMENT,2022-11-08
Home Afrika Ltd Ord 1.00,KE2000007258,400,0.36,5.88,INVESTMENT,2022-11-08
Nairobi Securities Exchange 4.00,KE3000009674,4800,7.24,2.84,INVESTMENT SERVICES,2022-11-08
Kenya Orchards Ltd Ord 5.00,KE0000000331,0,10.4,0.0,MANUFACTURING,2022-11-08
Unga Group Plc Ord 5.00,KE0000000497,3700,29.0,0.0,MANUFACTURING,2022-11-08
East African Breweries PLC Ord 2.00,KE0000000216,74800,158.5,-3.65,MANUFACTURING,2022-11-08
British American Tobacco Kenya Ltd Ord 10.00,KE0000000075,31800,420.0,-1.75,MANUFACTURING,2022-11-08
Carbacid Investments Ltd Ord 5.00,KE0000000117,33000,13.8,-0.72,MANUFACTURING,2022-11-08
Mumias Sugar Co. Ltd Ord 2.00,KE0000000372,0,0.27,0.0,MANUFACTURING,2022-11-08
B.O.C Kenya Ltd Ord 5.00,KE0000000042,400,80.0,0.0,MANUFACTURING,2022-11-08
Flame Tree Group Holdings Ltd Ord 0.825,KE4000001323,10200,1.2,0.84,MANUFACTURING,2022-11-08
Safaricom Ltd Ord 0.05,KE1000001402,443100,24.95,0.6,TELECOMMUNICATION,2022-11-08
Fahari I-REIT,KE5000003656,14300,6.88,0.0,REAL ESTATE,2022-11-08
New Gold Issuer (RP) Ltd,ZAE000060067,18900,2015.0,7.18,ETF,2022-11-08
